"trade_date","close","daily_return"
"1999-01-22","0.0376018",
"1999-01-25","0.0414991","0.10364663393773701"
"1999-01-26","0.0382868","-0.07740649797224505"
"1999-01-27","0.0382868","0.0"
"1999-01-28","0.0380583","-0.005968114337056101"
"1999-01-29","0.0362297","-0.04804733790001147"
"1999-02-01","0.036919","0.019025826876844242"
"1999-02-02","0.0341571","-0.07480971857309238"
"1999-02-03","0.0348559","0.020458411281988206"
"1999-02-04","0.0366834","0.05243014812413381"
"1999-02-05","0.0378386","0.03149108316023057"
"1999-02-08","0.0364567","-0.03652090722172592"
"1999-02-09","0.0350837","-0.03766111578941592"
"1999-02-10","0.0348559","-0.006493043778164794"
"1999-02-11","0.0378386","0.08557231343904469"
"1999-02-12","0.0398945","0.0543334055699735"
"1999-02-16","0.0401271","0.00583037762097531"
"1999-02-17","0.0380583","-0.051556180237295884"
"1999-02-18","0.0385123","0.011929066721319555"
"1999-02-19","0.0398945","0.035889832598935925"
"1999-02-22","0.0401271","0.00583037762097531"
"1999-02-23","0.0419634","0.04576209095598733"
"1999-02-24","0.0454024","0.0819523680159378"
"1999-02-25","0.0440182","-0.030487375116733963"
"1999-02-26","0.0419634","-0.04668069116865302"
"1999-03-01","0.04218","0.005161640858462477"
"1999-03-02","0.0417307","-0.010651967757230908"
"1999-03-03","0.038972","-0.06610720644513518"
"1999-03-04","0.0380583","-0.02344503746279371"
"1999-03-05","0.0401271","0.054358707561819514"
"1999-03-08","0.0408112","0.01704832893480964"
"1999-03-09","0.04218","0.0335398126004627"
"1999-03-10","0.0414991","-0.016142721669037578"
"1999-03-11","0.0396677","-0.044131077541440585"
"1999-03-12","0.038972","-0.017538198584742763"
"1999-03-15","0.0405864","0.04142461254233814"
"1999-03-16","0.0392015","-0.034122267557605536"
"1999-03-17","0.0394331","0.005907937196280716"
"1999-03-18","0.0401271","0.01759942789179649"
"1999-03-19","0.0401271","0.0"
"1999-03-22","0.038972","-0.02878603238210584"
"1999-03-23","0.0364567","-0.0645412090731807"
"1999-03-24","0.0362297","-0.006226564664382815"
"1999-03-25","0.0366834","0.012522874878897737"
"1999-03-26","0.0401271","0.09387624920263664"
"1999-03-29","0.0412705","0.02849445885698201"
"1999-03-30","0.0378386","-0.08315624962140031"
"1999-03-31","0.0403518","0.06641894784690766"
"1999-04-01","0.0392015","-0.028506782844879286"
"1999-04-05","0.0380583","-0.029162149407548105"
"1999-04-06","0.036919","-0.02993565135594608"
"1999-04-07","0.0401271","0.08689563639318504"
"1999-04-08","0.0408112","0.01704832893480964"
"1999-04-09","0.0401271","-0.016762555376955347"
"1999-04-12","0.0385123","-0.040242130629923406"
"1999-04-13","0.036919","-0.04137119829249354"
"1999-04-14","0.0357676","-0.03118719358595855"
"1999-04-15","0.0366834","0.025604178082957802"
"1999-04-16","0.0380583","0.03748016814144832"
"1999-04-19","0.0362297","-0.04804733790001147"
"1999-04-20","0.0355331","-0.019227319022790658"
"1999-04-21","0.0362297","0.019604256313127722"
"1999-04-22","0.0346193","-0.04444971942908713"
"1999-04-23","0.0330168","-0.046289208620624904"
"1999-04-26","0.0311834","-0.055529306292554065"
"1999-04-27","0.0346193","0.11018362333805802"
"1999-04-28","0.0343868","-0.006715907022961083"
